City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,Kizukuri,JP,overcast clouds,57.52,40.8061,140.3861,Goshogawara
6,Port Alfred,ZA,broken clouds,60.19,-33.5906,26.891,Port Alfred
10,Sitka,US,light rain,55.29,57.0531,-135.33,Sitka
11,Mataura,NZ,broken clouds,46.47,-46.1927,168.8643,Gore
15,Albany,US,clear sky,50.54,42.6001,-73.9662,Voorheesville
17,Bluff,NZ,overcast clouds,46.8,-46.6,168.3333,Bluff
19,Katsuura,JP,overcast clouds,55.42,35.1333,140.3,Katsuura
21,Zavetnoye,RU,clear sky,50.31,47.1194,43.8903,Zavetnoe
24,Rikitea,PF,broken clouds,69.58,-23.1203,-134.9692,Rikitea
26,New Norfolk,AU,overcast clouds,55.92,-42.7826,147.0587,New Norfolk
28,Requena,ES,scattered clouds,59.52,39.4883,-1.1004,Requena
33,Lagoa,PT,light rain,68.49,39.05,-27.9833,Santa Cruz da Graciosa
35,Jamestown,US,clear sky,53.24,42.097,-79.2353,Jamestown
36,Marquette,US,overcast clouds,58.44,46.5333,-87.6335,Ishpeming
38,Svetlyy,RU,clear sky,51.85,54.675,20.1347,Svetly
39,Castro,BR,overcast clouds,58.55,-24.7911,-50.0119,Castro
45,Esperance,AU,scattered clouds,60.64,-33.8667,121.9,Esperance
48,Lompoc,US,fog,58.51,34.6391,-120.4579,Lompoc
49,Klaksvik,FO,overcast clouds,47.32,62.2266,-6.589,Klaksvík
50,Yellowknife,CA,few clouds,41.56,62.456,-114.3525,Yellowknife
51,Marathon,US,overcast clouds,60.33,44.9,-89.7668,Krautkramer Brothers
52,Cidreira,BR,overcast clouds,63.61,-30.1811,-50.2056,CIDREIRA
54,Korla,CN,scattered clouds,61.0,41.7597,86.1469,Bayingolin Mongol Autonomous Prefecture
57,Colares,PT,few clouds,66.76,38.7992,-9.4469,Sintra
61,Keskin,TR,broken clouds,48.06,39.6731,33.6136,Keskin
64,Lima,PE,overcast clouds,57.9,-12.0432,-77.0282,Lima
65,Palmer,US,light rain,58.77,42.1584,-72.3287,Palmer
66,Mar Del Plata,AR,mist,56.95,-38.0023,-57.5575,Mar del Plata
68,Great Falls,US,clear sky,63.68,47.5002,-111.3008,Great Falls
71,Half Moon Bay,US,mist,67.62,37.4636,-122.4286,Half Moon Bay
72,Fortuna,US,broken clouds,58.35,40.5982,-124.1573,Fortuna
75,Geraldton,AU,overcast clouds,68.41,-28.7667,114.6,Geraldton
78,Port Lincoln,AU,scattered clouds,68.13,-34.7333,135.8667,Port Lincoln
83,Hermanus,ZA,scattered clouds,54.82,-34.4187,19.2345,Hermanus
84,Port Hardy,CA,few clouds,59.18,50.6996,-127.4199,Port Hardy
85,Puerto Ayora,EC,broken clouds,65.55,-0.7393,-90.3518,Puerto Ayora
87,Codrington,AU,overcast clouds,65.19,-38.2667,141.9667,Yambuk
90,Busselton,AU,overcast clouds,56.55,-33.65,115.3333,Busselton
91,Mehamn,NO,overcast clouds,42.71,71.0357,27.8492,Mehamn
92,Port Elizabeth,ZA,broken clouds,59.31,-33.918,25.5701,Gqeberha
93,Bethel,US,overcast clouds,60.89,41.3712,-73.414,Danbury
