City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kizukuri,JP,2022-10-06 04:26:19,40.8061,140.3861,overcast clouds,57.52,59,100,4.85
1,Ushuaia,AR,2022-10-06 04:21:57,-54.8,-68.3,scattered clouds,38.86,87,40,10.36
2,Sorong,ID,2022-10-06 04:26:19,-0.8833,131.25,broken clouds,83.26,73,55,4.41
3,Pompeu,BR,2022-10-06 04:26:20,-19.2244,-44.9353,few clouds,71.29,62,11,2.86
4,Hilo,US,2022-10-06 04:26:20,19.7297,-155.09,moderate rain,80.28,88,100,3.0
5,Dharchula,IN,2022-10-06 04:26:20,29.85,80.5333,overcast clouds,71.8,77,100,3.83
6,Port Alfred,ZA,2022-10-06 04:26:21,-33.5906,26.891,broken clouds,60.19,92,62,4.0
7,Matara,LK,2022-10-06 04:26:21,5.9485,80.5353,overcast clouds,81.27,77,100,15.08
8,Butaritari,KI,2022-10-06 04:26:22,3.0707,172.7902,clear sky,82.49,72,7,14.52
9,Zlitan,LY,2022-10-06 04:26:22,32.4674,14.5687,clear sky,71.78,62,0,9.13
10,Sitka,US,2022-10-06 04:26:22,57.0531,-135.33,light rain,55.29,100,100,3.44
11,Mataura,NZ,2022-10-06 04:26:23,-46.1927,168.8643,broken clouds,46.47,83,77,8.95
12,Ola,RU,2022-10-06 04:26:23,59.5833,151.2833,broken clouds,34.14,43,81,6.15
13,Saskylakh,RU,2022-10-06 04:26:23,71.9167,114.0833,broken clouds,14.32,93,78,9.19
14,Ayan,RU,2022-10-06 04:26:24,56.45,138.1667,overcast clouds,37.63,44,87,17.83
15,Albany,US,2022-10-06 04:26:24,42.6001,-73.9662,clear sky,50.54,94,6,4.09
16,Atuona,PF,2022-10-06 04:26:24,-9.8,-139.0333,light rain,77.13,77,13,20.42
17,Bluff,NZ,2022-10-06 04:26:25,-46.6,168.3333,overcast clouds,46.8,55,94,20.51
18,Tabas,IR,2022-10-06 04:26:25,33.5959,56.9244,clear sky,76.17,16,0,0.47
19,Katsuura,JP,2022-10-06 04:26:26,35.1333,140.3,overcast clouds,55.42,88,100,25.03
20,Tura,IN,2022-10-06 04:26:26,25.5198,90.2201,scattered clouds,78.4,89,47,4.7
21,Zavetnoye,RU,2022-10-06 04:26:26,47.1194,43.8903,clear sky,50.31,71,4,6.62
22,Hithadhoo,MV,2022-10-06 04:26:27,-0.6,73.0833,broken clouds,82.58,75,77,18.99
23,Araouane,ML,2022-10-06 04:26:27,18.9048,-3.5265,few clouds,91.51,21,17,6.15
24,Rikitea,PF,2022-10-06 04:26:28,-23.1203,-134.9692,broken clouds,69.58,63,64,20.76
25,Norman Wells,CA,2022-10-06 04:26:28,65.282,-126.8329,broken clouds,39.24,81,75,4.61
26,New Norfolk,AU,2022-10-06 04:26:28,-42.7826,147.0587,overcast clouds,55.92,63,100,5.01
27,Edd,ER,2022-10-06 04:25:54,13.9297,41.6925,broken clouds,87.04,68,51,2.26
28,Requena,ES,2022-10-06 04:26:29,39.4883,-1.1004,scattered clouds,59.52,90,48,3.89
29,Pangody,RU,2022-10-06 04:26:29,65.85,74.4859,scattered clouds,34.74,78,48,10.76
30,Amapa,BR,2022-10-06 04:26:30,1.0,-52.0,scattered clouds,70.57,94,49,2.35
31,Sungairaya,ID,2022-10-06 04:26:30,0.7,108.9,overcast clouds,83.48,70,99,3.04
32,Talnakh,RU,2022-10-06 04:21:51,69.4865,88.3972,overcast clouds,31.21,95,100,5.12
33,Lagoa,PT,2022-10-06 04:26:31,39.05,-27.9833,light rain,68.49,88,98,15.52
34,Tsiroanomandidy,MG,2022-10-06 04:26:31,-18.7667,46.0333,clear sky,70.9,36,0,3.91
35,Jamestown,US,2022-10-06 04:26:31,42.097,-79.2353,clear sky,53.24,67,0,1.01
36,Marquette,US,2022-10-06 04:26:32,46.5333,-87.6335,overcast clouds,58.44,93,89,7.56
37,Punta Arenas,CL,2022-10-06 04:22:29,-53.15,-70.9167,clear sky,39.31,81,0,9.22
38,Svetlyy,RU,2022-10-06 04:26:32,54.675,20.1347,clear sky,51.85,85,3,17.22
39,Castro,BR,2022-10-06 04:26:32,-24.7911,-50.0119,overcast clouds,58.55,97,100,8.16
